id,age1,salary,Num_Citylived,jobtype,dv_jt_other,dv_jt_govt,dv_jt_biz,dv_jt_pvt,Payer,dv_payer_parents,dv_payer_self,dv_payer_company,ClsRelativesCnt,Travel,dv_travel_low,dv_travel_medium,dv_travel_high,RelativesAbroad,dv_Rel_yes,dv_Rel_No,AvgBill
1,21,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,286.25
2,21,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,239.25
3,16,10000,1,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,310.25
4,18,10000,3,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,347.25
5,15,10000,1,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,290.25
6,15,10000,3,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,409.25
7,20,10000,1,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,406.25
8,15,10000,3,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,354.25
9,15,10000,1,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,257.25
10,20,10000,1,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,268.25
11,18,10000,3,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,337.25
12,20,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,356.25
13,19,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,292.25
14,19,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,254.25
15,20,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,346.25
16,16,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,229.25
17,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,300.25
18,16,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,285.25
19,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,326.25
20,20,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,271.25
21,21,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,306.25
22,20,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,315.25
23,18,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,243.25
24,19,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,310.25
25,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,335.25
26,19,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,317.25
27,20,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,286.25
28,17,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,284.25
29,17,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,317.25
30,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,380.25
31,17,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,325.25
32,17,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,304.25
33,18,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,276.25
34,19,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,368.25
35,17,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,320.25
36,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,338.25
37,17,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,355.25
38,15,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,236.25
39,16,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,257.25
40,21,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,281.25
41,19,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,338.25
42,19,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,288.25
43,20,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,289.25
44,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,371.25
45,21,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,249.25
46,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,319.25
47,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,363.25
48,17,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,314.25
49,21,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,232.25
50,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,370.25
51,18,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,265.25
52,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,330.25
53,18,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,275.25
54,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,314.25
55,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,327.25
56,16,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,292.25
57,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,314.25
58,18,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,246.25
59,21,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,325.25
60,16,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,323.25
61,18,10000,3,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,259.25
62,21,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,345.25
63,17,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,251.25
64,17,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,424.25
65,20,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,314.25
66,17,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,232.25
67,21,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,342.25
68,20,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,195.25
69,16,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,311.25
70,18,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,341.25
71,16,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,324.25
72,17,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,417.25
73,19,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,391.25
74,21,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,362.25
75,21,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,389.25
76,21,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,374.25
77,16,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,227.25
78,19,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,418.25
79,15,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,369.25
80,15,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,323.25
81,16,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,468.25
82,16,10000,1,Other,Yes,No,No,No,Parents,Yes,No,No,1,Low,Yes,No,No,No,No,Yes,230.25
83,18,10000,1,Private,No,No,No,Yes,Parents,Yes,No,No,3,Low,Yes,No,No,No,No,Yes,287.25
84,19,10000,3,Government,No,Yes,No,No,Parents,Yes,No,No,2,Low,Yes,No,No,Yes,Yes,No,358.25
85,17,10000,3,Business,No,No,Yes,No,Parents,Yes,No,No,4,Low,Yes,No,No,Yes,Yes,No,406.25
